user_id,medicine,rating
1,Ibuprofen,4.6
1,Dextromethorphan,4.1
1,Pseudoephedrine,3.7
1,Acetaminophen,3.6
1,Sertraline,2.5
1,Fexofenadine,2.9
1,Amlodipine,1.4
1,Ipratropium,2.3
2,Electrolytes,3.1
2,Ibuprofen,4.9
2,Escitalopram,3.2
2,Lorazepam,5.0
2,Fluticasone,1.4
2,Sitagliptin,2.4
2,Amlodipine,2.3
2,Cetirizine,3.8
3,Albuterol,3.3
3,Fluticasone,3.7
3,Hydroxyzine,4.0
3,Buspirone,4.6
3,Sitagliptin,2.5
3,Loratadine,2.3
3,Losartan,4.1
3,Fexofenadine,1.0
4,Rizatriptan,4.7
4,Hydroxyzine,3.8
4,Sumatriptan,3.9
4,Escitalopram,3.7
4,Amlodipine,2.9
4,Hydrochlorothiazide,1.8
4,Famotidine,3.6
4,Diclofenac,2.4
5,Sitagliptin,3.7
5,Glipizide,3.5
5,Metoprolol,4.1
5,Lisinopril,4.5
5,Fexofenadine,2.9
5,Sumatriptan,2.8
5,Escitalopram,3.2
5,Albuterol,2.2
6,Hydroxyzine,3.3
6,Lorazepam,4.2
6,Escitalopram,3.4
6,Buspirone,4.9
6,Antacids,1.0
6,Electrolytes,2.7
6,Loratadine,3.4
6,Metoprolol,3.6
7,Diphenhydramine,3.9
7,Famotidine,4.1
7,Omeprazole,4.0
7,Antacids,4.3
7,Ibuprofen,2.5
7,Lorazepam,2.9
7,Cyclobenzaprine,1.0
7,Sumatriptan,2.1
8,Glipizide,3.5
8,Insulin,3.8
8,Empagliflozin,3.9
8,Omeprazole,4.0
8,Losartan,2.8
8,Electrolytes,1.3
8,Albuterol,2.4
8,Cyclobenzaprine,1.2
9,Rizatriptan,2.3
9,Metoclopramide,3.8
9,Ibuprofen,4.5
9,Sumatriptan,5.0
9,Oseltamivir,2.0
9,Empagliflozin,2.6
9,Cyclobenzaprine,1.0
9,Antacids,2.5
10,Ibuprofen,3.2
10,Acetaminophen,4.2
10,Electrolytes,3.2
10,Oseltamivir,3.9
10,Vitamin C,2.0
10,Sertraline,2.8
10,Naproxen,3.6
10,Hydrochlorothiazide,5.0
11,Dextromethorphan,5.0
11,Oseltamivir,2.7
11,Electrolytes,2.4
11,Ibuprofen,3.4
11,Albuterol,1.3
11,Diclofenac,3.0
11,Cyclobenzaprine,1.6
11,Hydroxyzine,2.1
12,Fluticasone,4.5
12,Acetaminophen,3.9
12,Dextromethorphan,4.0
12,Ibuprofen,3.3
12,Buspirone,4.3
12,Vitamin C,1.6
12,Hydroxyzine,3.4
12,Sumatriptan,2.0
13,Budesonide,4.7
13,Fluticasone,3.3
13,Montelukast,4.3
13,Albuterol,3.0
13,Rizatriptan,3.3
13,Metoclopramide,1.0
13,Escitalopram,3.5
13,Empagliflozin,1.0
14,Diphenhydramine,3.2
14,Loratadine,3.9
14,Cetirizine,3.7
14,Fluticasone,3.8
14,Electrolytes,2.9
14,Lisinopril,1.6
14,Sertraline,2.3
14,Esomeprazole,2.0
15,Sitagliptin,4.0
15,Metformin,4.9
15,Insulin,4.8
15,Empagliflozin,3.8
15,Amlodipine,2.7
15,Escitalopram,2.6
15,Hydrochlorothiazide,2.6
15,Rizatriptan,3.2
16,Sitagliptin,4.1
16,Glipizide,3.7
16,Metformin,3.5
16,Empagliflozin,3.9
16,Budesonide,4.5
16,Rizatriptan,1.6
16,Electrolytes,2.0
16,Pseudoephedrine,2.5
17,Amlodipine,3.9
17,Lisinopril,4.8
17,Hydrochlorothiazide,5.0
17,Losartan,4.1
17,Hydroxyzine,2.5
17,Montelukast,5.0
17,Sumatriptan,2.4
17,Sitagliptin,1.8
18,Metoclopramide,4.2
18,Esomeprazole,2.8
18,Acetaminophen,4.4
18,Ranitidine,4.0
18,Amlodipine,3.4
18,Electrolytes,2.8
18,Diphenhydramine,2.0
18,Hydrochlorothiazide,3.4
19,Buspirone,4.2
19,Lorazepam,3.0
19,Sertraline,3.7
19,Hydroxyzine,3.6
19,Electrolytes,2.4
19,Ipratropium,2.5
19,Fluticasone,3.0
19,Cetirizine,1.0
20,Metformin,4.8
20,Sitagliptin,3.9
